"COMPONENTID","COMPONENTNAME","FUNCTION"
"CP1744","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1745","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1746","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"CP1747","Patient Button","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1748","Safety","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1749","Failture LED","The patient should receive enough drug to relieve the pain."
"CP1750","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1751","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1752","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1753","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"CP1754","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP1755","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1756","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1757","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1758","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1759","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP1760","Alarms","Performs primary pump operation"
"CP1761","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1762","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1763","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1764","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1765","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1766","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1767","Scanner","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1768","Security Subsystem","The patient should receive enough drug to relieve the pain."
"CP1769","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1770","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1771","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1772","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP1773","Drug Reservoir","The patient should not receive so much drug that makes him unaware"
"CP1774","Patient Button","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1775","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1776","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1777","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1778","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"CP1779","Error Dector","Performs primary pump operation"
"CP1780","Fault Logger","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP1781","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1782","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1783","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1784","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"CP1785","Parameters","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP1786","Security Status","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP1787","Alarms","The patient should receive enough drug to relieve the pain."
"CP1788","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP1789","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP1790","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP1791","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP1792","Drug Libary Thread","The patient should not receive so much drug that makes him unaware"
"CP1793","Event Logger Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP1794","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
