"SUBCOMPONENTID","COMPONENTNAME","FUNCTION"
"SCP1874","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1875","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1876","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1877","Operation Process","Performs primary pump operation"
"SCP1878","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1879","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1880","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1881","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1882","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1883","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1884","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1885","Pump fault manager","The patient should receive enough drug to relieve the pain."
"SCP1886","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1887","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1888","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1889","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1890","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1891","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1892","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1893","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1894","Scanner","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1895","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1896","Security Subsystem","The patient should not receive so much drug that makes him unaware"
"SCP1897","Pump","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP1898","Error Dector","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1899","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1900","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1901","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1902","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1903","Commands","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1904","Parameters","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1905","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1906","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1907","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1908","Alarms","Performs primary pump operation"
"SCP1909","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1910","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1911","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1912","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP1913","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP1914","Drug Reservoir","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP1915","Patient Button","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP1916","Safety","The patient should receive enough drug to relieve the pain."
"SCP1917","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1918","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1919","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP1920","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP1921","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP1922","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
