"EXCEPTIONCASESTEPID","DESCRIPTION"
"ECS5461","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5462","blockage between pump and patient"
"ECS5463","blockage between reservoir and pump"
"ECS5464","bubble detection"
"ECS5465","dose reaches maximum allowed by drug library"
"ECS5466","clinician not authorized to operate pump"
"ECS5467","basal rate or bolus VTBI exceeded hard limit"
"ECS5468","power-on self test fails"
"ECS5469","PCA pump detects its own failure"
"ECS5470","pump fails to prime after loading drug reservoir"
"ECS5471","measured flow rate exceeds setting"
"ECS5472","measured flow rate below setting"
"ECS5473","pump temperature exceeds 55 C"
"ECS5474","ng drug reservoir"
"ECS5475","measured flow rate exceeds setting"
"ECS5476","patient not admitted to hospital"
"ECS5477","drug or prescription not intended for this patient"
"ECS5478","no audible alarm"
"ECS5479","indication of no ICE alarms enabled"
"ECS5480","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5481","blockage between pump and patient"
"ECS5482","blockage between reservoir and pump"
"ECS5483","bubble detection"
"ECS5484","dose reaches maximum allowed by drug library"
"ECS5485","clinician not authorized to operate pump"
"ECS5486","patient not admitted to hospital"
"ECS5487","the drug libary fails authenticity or integrity check"
"ECS5488","basal rate or bolus VTBI exceeded soft limit"
"ECS5489","measured flow rate below setting"
"ECS5490","pump temperature exceeds 55 C"
"ECS5491","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5492","blockage between pump and patient"
"ECS5493","blockage between reservoir and pump"
"ECS5494","bubble detection"
"ECS5495","dose reaches maximum allowed by drug library"
"ECS5496","clinician not authorized to operate pump"
"ECS5497","basal rate or bolus VTBI exceeded hard limit"
"ECS5498","power-on self test fails"
"ECS5499","PCA pump detects its own failure"
"ECS5500","pump fails to prime after loading drug reservoir"
"ECS5501","measured flow rate exceeds setting"
"ECS5502","measured flow rate below setting"
"ECS5503","pump temperature exceeds 55 C"
"ECS5504","ng drug reservoir"
"ECS5505","measured flow rate exceeds setting"
"ECS5506","patient not admitted to hospital"
"ECS5507","drug or prescription not intended for this patient"
"ECS5508","no audible alarm"
"ECS5509","indication of no ICE alarms enabled"
"ECS5510","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5511","blockage between pump and patient"
"ECS5512","blockage between reservoir and pump"
"ECS5513","bubble detection"
"ECS5514","dose reaches maximum allowed by drug library"
"ECS5515","clinician not authorized to operate pump"
"ECS5516","patient not admitted to hospital"
"ECS5517","the drug libary fails authenticity or integrity check"
"ECS5518","basal rate or bolus VTBI exceeded soft limit"
"ECS5519","measured flow rate below setting"
"ECS5520","pump temperature exceeds 55 C"
"ECS5521","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5522","blockage between pump and patient"
"ECS5523","blockage between reservoir and pump"
"ECS5524","bubble detection"
"ECS5525","dose reaches maximum allowed by drug library"
"ECS5526","clinician not authorized to operate pump"
"ECS5527","basal rate or bolus VTBI exceeded hard limit"
"ECS5528","power-on self test fails"
"ECS5529","PCA pump detects its own failure"
"ECS5530","pump fails to prime after loading drug reservoir"
"ECS5531","measured flow rate exceeds setting"
"ECS5532","measured flow rate below setting"
"ECS5533","pump temperature exceeds 55 C"
"ECS5534","ng drug reservoir"
"ECS5535","measured flow rate exceeds setting"
"ECS5536","patient not admitted to hospital"
"ECS5537","drug or prescription not intended for this patient"
"ECS5538","no audible alarm"
"ECS5539","indication of no ICE alarms enabled"
"ECS5540","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5541","blockage between pump and patient"
"ECS5542","blockage between reservoir and pump"
"ECS5543","bubble detection"
"ECS5544","dose reaches maximum allowed by drug library"
"ECS5545","clinician not authorized to operate pump"
"ECS5546","patient not admitted to hospital"
"ECS5547","the drug libary fails authenticity or integrity check"
"ECS5548","basal rate or bolus VTBI exceeded soft limit"
"ECS5549","measured flow rate below setting"
"ECS5550","pump temperature exceeds 55 C"
"ECS5551","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5552","blockage between pump and patient"
"ECS5553","blockage between reservoir and pump"
"ECS5554","bubble detection"
"ECS5555","dose reaches maximum allowed by drug library"
"ECS5556","clinician not authorized to operate pump"
"ECS5557","basal rate or bolus VTBI exceeded hard limit"
"ECS5558","power-on self test fails"
"ECS5559","PCA pump detects its own failure"
"ECS5560","pump fails to prime after loading drug reservoir"
"ECS5561","measured flow rate exceeds setting"
"ECS5562","measured flow rate below setting"
"ECS5563","pump temperature exceeds 55 C"
"ECS5564","ng drug reservoir"
"ECS5565","measured flow rate exceeds setting"
"ECS5566","patient not admitted to hospital"
"ECS5567","drug or prescription not intended for this patient"
"ECS5568","no audible alarm"
"ECS5569","indication of no ICE alarms enabled"
"ECS5570","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5571","blockage between pump and patient"
"ECS5572","blockage between reservoir and pump"
"ECS5573","bubble detection"
"ECS5574","dose reaches maximum allowed by drug library"
"ECS5575","clinician not authorized to operate pump"
"ECS5576","patient not admitted to hospital"
"ECS5577","the drug libary fails authenticity or integrity check"
"ECS5578","basal rate or bolus VTBI exceeded soft limit"
"ECS5579","measured flow rate below setting"
"ECS5580","pump temperature exceeds 55 C"
"ECS5581","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5582","blockage between pump and patient"
"ECS5583","blockage between reservoir and pump"
"ECS5584","bubble detection"
"ECS5585","dose reaches maximum allowed by drug library"
"ECS5586","clinician not authorized to operate pump"
"ECS5587","basal rate or bolus VTBI exceeded hard limit"
"ECS5588","power-on self test fails"
"ECS5589","PCA pump detects its own failure"
"ECS5590","pump fails to prime after loading drug reservoir"
"ECS5591","measured flow rate exceeds setting"
"ECS5592","measured flow rate below setting"
"ECS5593","pump temperature exceeds 55 C"
"ECS5594","ng drug reservoir"
"ECS5595","measured flow rate exceeds setting"
"ECS5596","patient not admitted to hospital"
"ECS5597","drug or prescription not intended for this patient"
"ECS5598","no audible alarm"
"ECS5599","indication of no ICE alarms enabled"
"ECS5600","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5601","blockage between pump and patient"
"ECS5602","blockage between reservoir and pump"
"ECS5603","bubble detection"
"ECS5604","dose reaches maximum allowed by drug library"
"ECS5605","clinician not authorized to operate pump"
"ECS5606","patient not admitted to hospital"
"ECS5607","the drug libary fails authenticity or integrity check"
"ECS5608","basal rate or bolus VTBI exceeded soft limit"
"ECS5609","measured flow rate below setting"
"ECS5610","pump temperature exceeds 55 C"
"ECS5611","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5612","blockage between pump and patient"
"ECS5613","blockage between reservoir and pump"
"ECS5614","bubble detection"
"ECS5615","dose reaches maximum allowed by drug library"
"ECS5616","clinician not authorized to operate pump"
"ECS5617","basal rate or bolus VTBI exceeded hard limit"
"ECS5618","power-on self test fails"
"ECS5619","PCA pump detects its own failure"
"ECS5620","pump fails to prime after loading drug reservoir"
"ECS5621","measured flow rate exceeds setting"
"ECS5622","measured flow rate below setting"
"ECS5623","pump temperature exceeds 55 C"
"ECS5624","ng drug reservoir"
"ECS5625","measured flow rate exceeds setting"
"ECS5626","patient not admitted to hospital"
"ECS5627","drug or prescription not intended for this patient"
"ECS5628","no audible alarm"
"ECS5629","indication of no ICE alarms enabled"
"ECS5630","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5631","blockage between pump and patient"
"ECS5632","blockage between reservoir and pump"
"ECS5633","bubble detection"
"ECS5634","dose reaches maximum allowed by drug library"
"ECS5635","clinician not authorized to operate pump"
"ECS5636","patient not admitted to hospital"
"ECS5637","the drug libary fails authenticity or integrity check"
"ECS5638","basal rate or bolus VTBI exceeded soft limit"
"ECS5639","measured flow rate below setting"
"ECS5640","pump temperature exceeds 55 C"
"ECS5641","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5642","blockage between pump and patient"
"ECS5643","blockage between reservoir and pump"
"ECS5644","bubble detection"
"ECS5645","dose reaches maximum allowed by drug library"
"ECS5646","clinician not authorized to operate pump"
"ECS5647","basal rate or bolus VTBI exceeded hard limit"
"ECS5648","power-on self test fails"
"ECS5649","PCA pump detects its own failure"
"ECS5650","pump fails to prime after loading drug reservoir"
"ECS5651","measured flow rate exceeds setting"
"ECS5652","measured flow rate below setting"
"ECS5653","pump temperature exceeds 55 C"
"ECS5654","ng drug reservoir"
"ECS5655","measured flow rate exceeds setting"
"ECS5656","patient not admitted to hospital"
"ECS5657","drug or prescription not intended for this patient"
"ECS5658","no audible alarm"
"ECS5659","indication of no ICE alarms enabled"
"ECS5660","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5661","blockage between pump and patient"
"ECS5662","blockage between reservoir and pump"
"ECS5663","bubble detection"
"ECS5664","dose reaches maximum allowed by drug library"
"ECS5665","clinician not authorized to operate pump"
"ECS5666","patient not admitted to hospital"
"ECS5667","the drug libary fails authenticity or integrity check"
"ECS5668","basal rate or bolus VTBI exceeded soft limit"
"ECS5669","measured flow rate below setting"
"ECS5670","pump temperature exceeds 55 C"
"ECS5671","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5672","blockage between pump and patient"
"ECS5673","blockage between reservoir and pump"
"ECS5674","bubble detection"
"ECS5675","dose reaches maximum allowed by drug library"
"ECS5676","clinician not authorized to operate pump"
"ECS5677","basal rate or bolus VTBI exceeded hard limit"
"ECS5678","power-on self test fails"
"ECS5679","PCA pump detects its own failure"
"ECS5680","pump fails to prime after loading drug reservoir"
"ECS5681","measured flow rate exceeds setting"
"ECS5682","measured flow rate below setting"
"ECS5683","pump temperature exceeds 55 C"
"ECS5684","ng drug reservoir"
"ECS5685","measured flow rate exceeds setting"
"ECS5686","patient not admitted to hospital"
"ECS5687","drug or prescription not intended for this patient"
"ECS5688","no audible alarm"
"ECS5689","indication of no ICE alarms enabled"
"ECS5690","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5691","blockage between pump and patient"
"ECS5692","blockage between reservoir and pump"
"ECS5693","bubble detection"
"ECS5694","dose reaches maximum allowed by drug library"
"ECS5695","clinician not authorized to operate pump"
"ECS5696","patient not admitted to hospital"
"ECS5697","the drug libary fails authenticity or integrity check"
"ECS5698","basal rate or bolus VTBI exceeded soft limit"
"ECS5699","measured flow rate below setting"
"ECS5700","pump temperature exceeds 55 C"
"ECS5701","Bolus request denied because minimum time between boluses had not elapsed."
"ECS5702","blockage between pump and patient"
"ECS5703","blockage between reservoir and pump"
"ECS5704","bubble detection"
"ECS5705","dose reaches maximum allowed by drug library"
"ECS5706","clinician not authorized to operate pump"
"ECS5707","basal rate or bolus VTBI exceeded hard limit"
