"EXCEPTIONCASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"EC2992","ICE app","Sound Failure","no audible alarm"
"EC2993","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC2994","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC2995","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC2996","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC2997","Patient","Power-On Self Test Failure","power-on self test fails"
"EC2998","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC2999","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC3000","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC3001","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC3002","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC3003","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC3004","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC3005","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC3006","Clinician","Air-in-line Embolism","bubble detection"
"EC3007","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC3008","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC3009","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC3010","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC3011","Patient or Clinician","Sound Failure","no audible alarm"
"EC3012","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC3013","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC3014","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC3015","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC3016","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC3017","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC3018","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC3019","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC3020","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC3021","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC3022","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC3023","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC3024","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC3025","Patient","Air-in-line Embolism","bubble detection"
"EC3026","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC3027","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC3028","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC3029","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC3030","Clinician","Sound Failure","no audible alarm"
"EC3031","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC3032","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC3033","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC3034","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC3035","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC3036","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC3037","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC3038","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC3039","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC3040","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC3041","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC3042","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC3043","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC3044","ICE app","Air-in-line Embolism","bubble detection"
"EC3045","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC3046","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC3047","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC3048","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC3049","Patient","Sound Failure","no audible alarm"
"EC3050","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC3051","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC3052","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC3053","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC3054","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC3055","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC3056","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC3057","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC3058","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC3059","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC3060","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC3061","Patient","Downstream Occlusion","blockage between pump and patient"
"EC3062","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC3063","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC3064","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC3065","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC3066","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC3067","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC3068","ICE app","Sound Failure","no audible alarm"
"EC3069","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC3070","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC3071","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC3072","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC3073","Patient","Power-On Self Test Failure","power-on self test fails"
"EC3074","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC3075","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC3076","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC3077","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC3078","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC3079","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC3080","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC3081","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC3082","Clinician","Air-in-line Embolism","bubble detection"
"EC3083","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC3084","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC3085","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC3086","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC3087","Patient or Clinician","Sound Failure","no audible alarm"
"EC3088","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC3089","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC3090","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC3091","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC3092","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC3093","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC3094","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC3095","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC3096","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC3097","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC3098","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC3099","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC3100","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC3101","Patient","Air-in-line Embolism","bubble detection"
"EC3102","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC3103","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC3104","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC3105","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC3106","Clinician","Sound Failure","no audible alarm"
"EC3107","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC3108","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC3109","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC3110","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC3111","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC3112","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC3113","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC3114","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC3115","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC3116","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC3117","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC3118","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC3119","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC3120","ICE app","Air-in-line Embolism","bubble detection"
"EC3121","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC3122","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC3123","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC3124","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
